date,open,close,high,low,vol
2012-09-25,3748.1,3752.59,3773.63,3733.0,2441412
2012-09-26,3750.67,3694.12,3762.1,3685.03,2685084
2012-09-27,3694.32,3779.84,3802.34,3689.69,3996236
2012-09-28,3759.66,3867.99,3872.15,3755.13,4825149
2012-10-08,3865.02,3840.22,3884.88,3816.8,3081222
2012-10-09,3859.06,3925.98,3927.54,3858.55,4344842
2012-10-10,3912.81,3932.16,3939.85,3906.14,4316113
2012-10-11,3915.83,3880.2,3915.83,3877.17,3533954
2012-10-12,3909.46,3875.95,3930.02,3849.63,3365982
2012-10-15,3873.67,3870.94,3888.14,3842.86,2610653
2012-10-16,3868.6,3893.44,3930.06,3858.24,3914513
2012-10-17,3902.63,3895.64,3910.41,3859.46,2945084
2012-10-18,3908.98,3958.53,3966.57,3908.84,4494409
2012-10-19,3959.27,3949.01,3976.82,3937.08,3406606
2012-10-22,3934.58,3950.77,3959.52,3915.09,3128716
2012-10-23,3947.36,3897.82,3951.86,3894.32,3731760
2012-10-24,3887.45,3907.88,3925.86,3882.56,4110511
2012-10-25,3906.16,3872.48,3916.43,3866.94,4466890
2012-10-26,3870.27,3794.2,3873.56,3772.35,4025611
2012-10-29,3777.75,3784.96,3793.05,3748.6,2930049
2012-10-30,3782.64,3787.05,3817.03,3772.49,2974709
2012-10-31,3786.88,3809.96,3810.5,3772.98,3334825
2012-11-01,3811.55,3871.5,3881.29,3809.2,3839191
2012-11-02,3874.35,3889.55,3892.8,3854.06,4569356
2012-11-05,3877.8,3861.84,3891.77,3847.6,4439786
2012-11-06,3860.67,3835.64,3862.92,3791.6,4291425
2012-11-07,3829.52,3855.0,3860.53,3823.44,4477738
2012-11-08,3822.76,3792.64,3838.98,3792.14,4745493
2012-11-09,3784.86,3778.13,3802.49,3764.51,3651772
2012-11-12,3779.64,3760.36,3788.47,3738.15,4134397
2012-11-13,3759.13,3702.84,3759.13,3700.89,4400261
2012-11-14,3694.72,3715.29,3719.61,3684.1,2997647
2012-11-15,3692.92,3662.98,3708.22,3656.32,3238127
2012-11-16,3656.59,3629.43,3662.09,3603.27,3013836
2012-11-19,3623.17,3594.37,3623.74,3549.79,3053858
2012-11-20,3597.17,3579.85,3605.59,3571.71,2764835
2012-11-21,3581.71,3604.67,3607.86,3521.97,3355193
2012-11-22,3563.5,3571.59,3586.37,3548.17,3324697
2012-11-23,3571.23,3612.8,3624.41,3570.95,2976197
2012-11-26,3603.53,3571.18,3611.56,3561.9,2608356
2012-11-27,3561.33,3502.28,3561.52,3501.22,3121183
2012-11-28,3490.13,3458.69,3494.26,3452.7,2716256
2012-11-29,3460.51,3455.0,3482.59,3450.65,2260910
2012-11-30,3454.03,3483.52,3483.52,3435.85,2948083
2012-12-03,3470.59,3395.66,3492.72,3393.57,3497302
2012-12-04,3380.78,3426.44,3437.31,3370.08,3794107
2012-12-05,3414.32,3506.16,3527.87,3406.78,6071676
2012-12-06,3504.32,3487.87,3509.49,3453.72,4259608
2012-12-07,3492.98,3560.68,3569.58,3485.32,6238662
2012-12-10,3563.95,3602.17,3610.05,3554.04,6329369
2012-12-11,3587.79,3597.53,3623.42,3578.61,5037282
2012-12-12,3600.49,3610.55,3612.25,3574.43,3783197
2012-12-13,3600.43,3574.62,3620.69,3567.32,3810674
2012-12-14,3568.84,3707.94,3713.13,3561.67,8771388
2012-12-17,3702.98,3735.96,3749.39,3698.21,7798929
2012-12-18,3729.16,3735.02,3775.34,3710.87,6866416
2012-12-19,3729.96,3762.84,3780.23,3722.41,5484704
2012-12-20,3753.52,3785.01,3785.16,3732.18,5173739
2012-12-21,3786.65,3796.16,3847.38,3776.26,6026172
2012-12-24,3781.85,3781.06,3808.97,3763.32,4872452
2012-12-25,3770.46,3861.0,3867.45,3757.69,8131754
2012-12-26,3855.37,3885.21,3886.14,3848.68,7828119
2012-12-27,3894.56,3880.84,3914.95,3858.82,7206743
2012-12-28,3882.25,3937.28,3942.24,3882.12,5762849
2012-12-31,3945.99,3990.9,3991.43,3934.02,6470440
2013-01-04,4008.66,3952.77,4014.35,3918.98,7187047
2013-01-07,3936.51,3977.42,3979.68,3925.74,6374665
2013-01-08,3973.45,4001.23,4018.81,3945.91,6627016
2013-01-09,3992.92,4017.45,4038.36,3990.72,6970026
2013-01-10,4009.17,4014.09,4051.74,3981.82,5919456
2013-01-11,4016.17,3957.21,4034.02,3938.17,6249186
2013-01-14,3940.85,4080.55,4089.26,3938.76,7388813
2013-01-15,4081.56,4119.21,4130.52,4068.62,9569790
2013-01-16,4097.54,4087.82,4118.7,4028.13,9169604
2013-01-17,4076.9,4053.83,4107.67,4034.04,6269453
2013-01-18,4069.75,4125.7,4140.75,4050.49,6876074
2013-01-21,4126.94,4111.21,4133.83,4079.9,7015999
2013-01-22,4107.75,4075.55,4107.75,4021.2,8623369
2013-01-23,4058.38,4095.34,4096.2,4039.88,6969985
2013-01-24,4084.58,4025.05,4143.21,3999.08,8562670
2013-01-25,4018.13,4035.08,4057.21,4010.04,6262717
2013-01-28,4036.54,4085.82,4086.81,4036.54,8447373
2013-01-29,4078.29,4082.96,4084.4,4045.59,8484867
2013-01-30,4082.4,4081.73,4090.3,4049.44,8487361
2013-01-31,4086.23,4059.77,4093.94,4040.15,6064233
2013-02-01,4046.65,4110.1,4111.35,4041.37,8724646
2013-02-04,4114.73,4089.84,4127.23,4062.0,9083955
2013-02-05,4075.78,4181.3,4181.85,4066.74,7720904
2013-02-06,4184.48,4163.99,4185.37,4150.98,6204884
2013-02-07,4152.21,4191.06,4195.58,4144.22,5780461
2013-02-08,4198.14,4285.94,4306.94,4198.14,7248089
2013-02-18,4301.95,4251.88,4309.31,4223.16,7048435
2013-02-19,4251.56,4168.65,4254.82,4154.31,6673728
2013-02-20,4166.98,4236.59,4237.56,4158.43,6035734
2013-02-21,4192.82,4158.47,4206.06,4111.24,9176198
2013-02-22,4150.22,4162.6,4185.35,4149.01,8070713
2013-02-25,4171.21,4156.05,4184.59,4135.7,5590979
2013-02-26,4134.91,4086.0,4171.5,4075.05,7514601
2013-02-27,4091.0,4072.37,4113.65,4042.88,5137917
2013-02-28,4087.01,4152.52,4154.0,4065.35,6405250
2013-03-01,4149.75,4149.22,4168.64,4091.57,6411436
2013-03-04,4118.41,4045.86,4149.44,4016.68,7919542
2013-03-05,4055.17,4127.03,4127.78,4051.63,5846592
2013-03-06,4142.4,4195.08,4197.38,4124.92,8307088
2013-03-07,4180.76,4177.89,4249.73,4136.83,8671598
2013-03-08,4186.88,4167.68,4212.59,4157.33,5981394
2013-03-11,4149.6,4145.1,4162.21,4108.17,4165471
2013-03-12,4141.41,4079.36,4179.73,4033.62,5634769
2013-03-13,4064.4,4022.04,4082.38,3996.84,4391610
2013-03-14,4007.53,4031.96,4059.48,4002.54,3612193
2013-03-15,4025.78,4041.98,4116.96,4001.4,5304788
2013-03-18,4010.29,3998.53,4041.77,3992.18,4414947
2013-03-19,3997.82,4002.31,4012.91,3963.96,3821105
2013-03-20,4002.11,4113.54,4114.2,4002.11,6984481
2013-03-21,4114.74,4147.05,4152.44,4101.26,6493947
2013-03-22,4136.06,4145.37,4155.78,4120.41,4502119
2013-03-25,4163.09,4124.36,4178.83,4111.6,4385987
2013-03-26,4112.8,4122.3,4129.63,4064.57,4760630
2013-03-27,4116.31,4118.77,4162.96,4094.05,5027957
2013-03-28,4078.25,4048.51,4078.25,4033.41,5961430
2013-03-29,4046.37,4020.95,4066.35,4005.14,3972680
2013-04-01,4000.01,4004.76,4028.68,3989.26,4942172
2013-04-02,4003.59,3969.02,4036.45,3948.34,4889187
2013-04-03,3979.68,3944.66,3991.41,3917.51,4252893
2013-04-08,3894.7,3970.94,3971.56,3873.22,5179936
2013-04-09,3979.92,3992.85,4009.78,3968.12,5187458
2013-04-10,3986.2,4013.78,4046.79,3982.8,5593299
2013-04-11,4031.09,4001.35,4034.72,3993.65,4756318
2013-04-12,3995.21,3995.69,4019.35,3985.03,3829906
2013-04-15,3987.31,3940.91,3999.18,3934.89,3933233
2013-04-16,3917.61,3970.82,3970.86,3907.61,3793659
2013-04-17,3976.84,4028.55,4029.38,3973.63,3347749
2013-04-18,4008.76,4037.35,4067.46,3994.57,3435221
2013-04-19,4046.8,4097.6,4117.6,4043.55,5505176
2013-04-22,4085.04,4096.84,4099.49,4068.97,6516453
2013-04-23,4094.29,3981.49,4094.29,3977.86,5909395
2013-04-24,3986.36,4051.37,4069.06,3974.3,7692931
2013-04-25,4041.21,4018.63,4082.99,4008.94,6851583
2013-04-26,4031.03,3969.74,4050.26,3946.68,4747888
2013-05-02,3943.81,3943.19,3960.69,3912.07,4535746
2013-05-03,3953.84,4019.72,4050.4,3953.84,5641553
2013-05-06,4031.55,4093.51,4100.1,4031.5,6839512
2013-05-07,4079.12,4117.42,4118.82,4067.75,5692576
2013-05-08,4131.11,4153.47,4162.32,4112.48,6841765
2013-05-09,4147.98,4142.88,4165.33,4111.5,7642845
2013-05-10,4129.54,4160.94,4178.79,4122.35,5930208
2013-05-13,4165.14,4146.11,4175.1,4108.59,6683461
2013-05-14,4134.81,4087.26,4140.05,4053.97,6029851
2013-05-15,4062.2,4103.2,4103.91,4062.04,4874055
2013-05-16,4086.27,4143.32,4154.36,4058.54,8012716
2013-05-17,4136.92,4189.8,4197.45,4127.82,9171666
2013-05-20,4199.54,4236.66,4239.97,4188.91,10792900
2013-05-21,4232.67,4244.9,4251.32,4207.59,9772342
2013-05-22,4233.86,4262.07,4273.45,4225.5,9970466
2013-05-23,4236.26,4225.12,4286.2,4212.26,9641934
2013-05-24,4232.47,4234.11,4257.77,4199.91,7624945
2013-05-27,4234.12,4243.96,4254.83,4217.33,7677269
2013-05-28,4256.6,4275.41,4278.86,4213.48,8105069
2013-05-29,4280.41,4304.74,4331.2,4275.95,8859790
2013-05-30,4284.21,4273.34,4294.91,4249.88,7680088
2013-05-31,4272.85,4212.83,4284.91,4209.71,6967517
2013-06-03,4218.53,4223.98,4243.82,4197.49,6186078
2013-06-04,4215.3,4146.41,4215.55,4131.76,6636849
2013-06-05,4147.57,4157.03,4158.42,4131.48,5311487
2013-06-06,4150.98,4134.61,4181.33,4127.4,5962110
2013-06-07,4116.34,4062.45,4144.46,4041.85,6378854
2013-06-13,4015.4,3972.14,4015.4,3919.98,5852084
2013-06-14,3978.99,4011.28,4021.14,3968.31,5237978
2013-06-17,4017.0,3989.32,4023.03,3975.11,5901292
2013-06-18,4027.53,4045.72,4047.37,3978.94,5378611
2013-06-19,4019.91,4046.66,4050.67,3969.55,5420080
2013-06-20,4023.23,3948.02,4040.39,3941.85,5327324
2013-06-21,3882.74,3947.75,3974.89,3859.91,5071428
2013-06-24,3938.08,3765.96,3938.08,3745.31,6333199
2013-06-25,3723.76,3802.05,3804.61,3530.03,8302610
2013-06-26,3802.42,3842.1,3852.45,3762.8,6561878
2013-06-27,3844.4,3795.58,3883.05,3785.41,6451744
2013-06-28,3773.53,3831.35,3876.0,3761.07,6456663
2013-07-01,3823.54,3906.26,3907.63,3809.56,5654888
2013-07-02,3902.36,3968.56,3976.9,3888.23,6221974
2013-07-03,3970.18,3983.91,3997.87,3918.72,7682175
2013-07-04,3966.15,3995.89,4027.38,3945.34,6804054
2013-07-05,4002.89,3988.75,4034.95,3986.91,6051024
2013-07-08,3932.13,3892.43,3960.53,3880.25,5264566
2013-07-09,3885.1,3881.31,3907.78,3849.06,4177570
2013-07-10,3877.35,3964.03,3964.37,3866.49,5314940
2013-07-11,3949.65,4036.1,4076.27,3931.2,8834959
2013-07-12,4030.75,3987.6,4067.73,3984.04,7909002
2013-07-15,4003.19,4064.66,4074.99,3998.43,6738473
2013-07-16,4057.69,4098.1,4098.97,4033.68,6923428
2013-07-17,4088.23,4012.22,4090.29,4006.42,6275293
2013-07-18,3993.8,3979.1,4017.62,3958.74,5764165
2013-07-19,3973.15,3878.31,3986.71,3876.37,7611164
2013-07-22,3846.71,3922.25,3923.11,3834.18,5887714
2013-07-23,3940.62,4029.83,4032.52,3929.8,7886922
2013-07-24,4035.7,4054.6,4071.16,4003.26,8166068
2013-07-25,4053.8,4017.84,4081.17,3979.87,7257645
2013-07-26,3998.23,3991.13,4027.09,3952.2,5805550
2013-07-29,3966.21,3917.63,3966.21,3909.1,5586605
2013-07-30,3924.33,3900.68,3948.25,3850.06,5267828
2013-07-31,3909.97,3908.07,3950.96,3895.6,4857751
2013-08-01,3926.88,3990.9,3991.89,3917.28,6441269
2013-08-02,4009.14,4007.98,4033.06,3999.76,6322598
2013-08-05,4031.98,4080.78,4081.78,4018.95,6663141
2013-08-06,4073.25,4157.32,4178.44,4062.13,10741125
2013-08-07,4141.85,4126.43,4180.74,4116.62,8227445
2013-08-08,4116.75,4130.94,4165.8,4113.05,6808487
2013-08-09,4149.91,4141.66,4178.33,4083.29,7084605
2013-08-12,4161.72,4190.86,4193.34,4150.02,7530488
2013-08-13,4189.24,4173.91,4191.21,4156.0,6063330
2013-08-14,4195.02,4176.33,4231.56,4161.79,7299124
2013-08-15,4177.09,4126.88,4188.98,4122.29,7477699
2013-08-16,4114.23,4069.49,4283.61,4062.11,8394062
2013-08-19,4064.68,4141.4,4145.72,4060.83,7075221
2013-08-20,4135.67,4116.54,4168.54,4100.36,7422597
2013-08-21,4134.67,4115.85,4135.38,4079.42,5665856
2013-08-22,4110.27,4126.19,4145.99,4103.04,6256645
2013-08-23,4140.38,4126.15,4154.97,4049.58,8221067
2013-08-26,4127.09,4207.89,4211.05,4119.91,8682580
2013-08-27,4200.23,4218.98,4219.3,4181.56,8176261
2013-08-28,4200.11,4217.41,4243.9,4170.47,10560805
2013-08-29,4225.15,4199.19,4231.19,4174.93,8407075
2013-08-30,4187.89,4153.27,4206.47,4137.88,10820951
2013-09-02,4169.04,4157.37,4178.49,4114.26,11179143
2013-09-03,4172.03,4236.76,4237.45,4171.44,10319765
2013-09-04,4241.01,4239.03,4250.89,4215.91,14878228
2013-09-05,4223.06,4268.49,4280.01,4207.56,12021024
2013-09-06,4254.94,4291.07,4297.6,4249.27,11901755
2013-09-09,4303.0,4345.29,4360.38,4295.99,13828585
2013-09-10,4349.16,4396.67,4402.68,4330.34,14530988
2013-09-11,4405.92,4399.69,4422.09,4335.96,17797704
2013-09-12,4385.1,4413.33,4427.83,4377.8,13943531
2013-09-13,4430.04,4445.78,4465.0,4424.06,13772039
2013-09-16,4449.53,4431.3,4478.12,4418.46,11069520
2013-09-17,4423.18,4364.2,4439.13,4362.37,12167327
2013-09-18,4351.78,4400.25,4408.17,4342.87,9553904
2013-09-23,4429.18,4514.63,4516.21,4425.79,12314531
2013-09-24,4530.49,4576.88,4589.26,4496.12,14545358
2013-09-25,4574.06,4581.16,4624.71,4556.6,16309720
2013-09-26,4571.0,4473.83,4576.5,4466.35,13435580
2013-09-27,4462.84,4492.96,4530.83,4462.84,12596319
2013-09-30,4519.85,4593.72,4597.72,4514.95,10854798
2013-10-08,4624.78,4631.18,4659.43,4596.88,15029650
2013-10-09,4604.01,4714.51,4715.93,4587.73,14512289
2013-10-10,4709.96,4701.49,4758.09,4685.69,16889802
2013-10-11,4718.05,4771.17,4783.45,4715.88,15650406
2013-10-14,4792.01,4843.11,4862.27,4791.69,17034334
2013-10-15,4835.07,4858.53,4869.6,4804.44,12131639
2013-10-16,4836.78,4732.95,4839.97,4699.57,14384076
2013-10-17,4739.26,4700.79,4762.36,4665.03,13016312
2013-10-18,4699.76,4734.53,4746.8,4682.1,9417906
2013-10-21,4752.13,4903.75,4909.17,4750.73,15141113
2013-10-22,4896.78,4816.72,4904.85,4791.27,16800781
2013-10-23,4809.72,4680.91,4832.63,4648.69,14540303
2013-10-24,4656.77,4664.47,4720.49,4640.64,9436867
2013-10-25,4667.89,4521.86,4681.6,4477.1,12250660
2013-10-28,4513.38,4510.41,4554.31,4477.32,12752032
2013-10-29,4509.15,4435.02,4545.16,4307.25,15178435
2013-10-30,4424.33,4499.33,4500.68,4406.2,10651858
2013-10-31,4448.25,4380.55,4448.83,4378.93,10967540
2013-11-01,4347.36,4382.01,4413.83,4317.5,9383065
2013-11-04,4399.01,4409.55,4451.53,4397.88,7413009
2013-11-05,4376.51,4468.05,4472.93,4328.99,9634557
2013-11-06,4448.29,4382.65,4459.94,4381.51,10295535
2013-11-07,4366.27,4314.13,4376.97,4298.2,8922334
2013-11-08,4277.52,4274.11,4330.27,4270.23,8184595
2013-11-11,4268.86,4297.27,4334.62,4252.86,7242762
2013-11-12,4293.92,4342.65,4352.3,4282.35,10328135
2013-11-13,4325.54,4271.37,4329.46,4267.41,11447095
2013-11-14,4266.83,4366.04,4369.97,4261.05,12079837
2013-11-15,4355.54,4454.68,4514.0,4355.54,13389308
2013-11-18,4510.33,4575.09,4575.54,4497.15,14740370
2013-11-19,4578.1,4548.14,4599.65,4529.69,13457862
2013-11-20,4566.81,4581.28,4585.15,4529.96,12619876
2013-11-21,4556.67,4544.51,4563.9,4511.86,14830497
2013-11-22,4547.32,4511.62,4566.14,4498.0,10481335
2013-11-25,4482.74,4509.2,4553.45,4472.77,9606254
2013-11-26,4497.89,4514.31,4529.57,4485.78,9005413
2013-11-27,4509.95,4557.35,4574.2,4500.87,9408361
2013-11-28,4565.09,4605.85,4643.82,4565.09,10980564
2013-11-29,4606.61,4609.6,4622.87,4581.88,8099897
2013-12-02,4529.57,4417.83,4577.0,4412.33,11136918
2013-12-03,4407.08,4506.64,4514.05,4401.38,7977420
2013-12-04,4506.94,4610.43,4629.62,4500.54,11585878
2013-12-05,4629.17,4621.23,4642.95,4589.87,9730848
2013-12-06,4612.25,4606.67,4632.52,4596.92,7181912
2013-12-09,4617.05,4643.75,4644.94,4590.68,8914677
2013-12-10,4672.6,4679.53,4708.77,4659.93,11565468
2013-12-11,4660.27,4634.4,4669.64,4597.98,10252135
2013-12-12,4627.04,4635.31,4669.65,4623.76,8168369
2013-12-13,4593.99,4628.52,4646.26,4581.5,7132024
2013-12-16,4627.85,4523.32,4636.46,4514.77,9583031
2013-12-17,4515.67,4445.31,4523.98,4439.66,6600235
2013-12-18,4444.43,4421.22,4463.46,4410.83,5440136
2013-12-19,4434.15,4375.95,4459.84,4372.74,5628827
2013-12-20,4384.23,4319.75,4402.51,4302.75,6365703
2013-12-23,4320.02,4318.57,4327.02,4256.18,5365895
2013-12-24,4329.0,4327.3,4375.41,4286.1,5705156
2013-12-25,4334.18,4363.23,4363.94,4306.57,5324711
2013-12-26,4353.68,4269.56,4361.72,4268.4,6419821
2013-12-27,4271.6,4329.03,4353.19,4262.95,4973822
2013-12-30,4347.13,4332.43,4358.33,4314.04,4651398
2013-12-31,4300.29,4366.53,4369.26,4292.69,5855698
2014-01-02,4353.2,4328.71,4353.2,4308.13,5049289
2014-01-03,4308.02,4253.96,4314.37,4234.85,7634865
2014-01-06,4231.3,4139.99,4231.3,4132.09,7145919
2014-01-07,4118.21,4171.65,4184.26,4107.24,4805935
2014-01-08,4174.48,4208.3,4223.83,4168.47,5875781
2014-01-09,4196.52,4150.98,4244.74,4143.71,7736677
2014-01-10,4138.06,4152.59,4181.41,4133.69,8105054
2014-01-13,4156.72,4138.63,4183.02,4113.51,5813448
2014-01-14,4136.42,4226.72,4227.14,4135.47,8657242
2014-01-15,4215.28,4234.7,4251.03,4202.32,8613003
2014-01-16,4227.19,4222.72,4246.81,4209.76,7669415
2014-01-17,4207.45,4131.73,4211.61,4128.15,6719587
2014-01-20,4130.08,4109.26,4151.5,4080.98,7231296
2014-01-21,4111.83,4152.97,4164.87,4111.83,6251609
2014-01-22,4161.28,4286.66,4288.11,4159.07,11174638
2014-01-23,4303.27,4325.29,4347.06,4297.66,9385809
2014-01-24,4310.03,4346.61,4358.92,4300.7,8417975
2014-01-27,4324.6,4326.47,4362.42,4312.03,9210759
2014-01-28,4327.37,4282.05,4348.68,4257.55,6726496
2014-01-29,4301.08,4274.82,4313.4,4254.88,7799976
2014-01-30,4263.29,4219.1,4263.29,4209.06,6683955
2014-02-07,4192.26,4296.64,4297.64,4171.27,7904653
2014-02-10,4316.7,4414.12,4421.59,4316.7,12524117
2014-02-11,4420.59,4416.14,4452.35,4378.21,11398480
2014-02-12,4421.88,4442.33,4442.79,4377.64,11266240
2014-02-13,4448.25,4396.07,4473.02,4394.73,12770045
2014-02-14,4399.19,4484.12,4484.12,4399.19,9532342
2014-02-17,4511.7,4548.69,4549.57,4476.43,13182280
2014-02-18,4543.18,4543.96,4563.07,4509.65,13999934
2014-02-19,4536.66,4556.09,4564.45,4527.84,11497921
2014-02-20,4575.97,4535.24,4614.58,4526.2,12579474
2014-02-21,4526.49,4498.12,4545.13,4463.27,9240815
2014-02-24,4470.02,4406.18,4470.02,4364.29,9899260
2014-02-25,4408.04,4240.66,4433.04,4211.05,13487579
2014-02-26,4216.05,4208.37,4223.62,4150.86,10382074
2014-02-27,4221.06,4159.6,4269.84,4143.82,11458211
2014-02-28,4144.53,4231.2,4234.95,4130.95,9430614
2014-03-03,4221.55,4320.62,4328.35,4210.11,8861420
2014-03-04,4291.6,4286.56,4315.36,4252.22,8455713
2014-03-05,4301.27,4285.83,4314.3,4259.9,8761194
2014-03-06,4275.74,4275.82,4284.38,4219.71,6754524
2014-03-07,4275.52,4296.52,4314.39,4255.71,7583952
2014-03-10,4258.75,4156.35,4258.75,4147.77,8510635
2014-03-11,4144.69,4182.17,4206.2,4138.29,6029728
2014-03-12,4165.67,4169.55,4197.16,4110.02,6287918
2014-03-13,4171.06,4255.8,4256.64,4169.52,5987464
2014-03-14,4232.63,4238.84,4246.26,4208.35,7450354
2014-03-17,4258.56,4296.32,4296.65,4233.05,6912776
2014-03-18,4308.42,4342.61,4371.11,4303.12,8482821
2014-03-19,4329.32,4286.88,4330.63,4256.86,7848280
2014-03-20,4279.1,4158.93,4293.37,4155.71,7817348
2014-03-21,4140.26,4276.4,4282.92,4111.67,8355678
2014-03-24,4279.06,4290.03,4296.77,4250.23,7532990
2014-03-25,4276.14,4297.48,4320.95,4247.88,9252061
2014-03-26,4296.86,4273.77,4311.4,4268.96,7374102
2014-03-27,4271.07,4210.31,4271.18,4207.82,6647001
2014-03-28,4226.47,4187.34,4251.53,4179.12,7838579
2014-03-31,4184.35,4167.39,4198.2,4137.85,6441233
2014-04-01,4155.0,4218.23,4221.02,4143.6,6221005
2014-04-02,4220.19,4224.73,4236.75,4198.55,6346223
2014-04-03,4232.9,4199.87,4237.67,4187.2,7162459
2014-04-04,4190.06,4239.02,4240.94,4182.28,4727051
2014-04-08,4224.97,4348.36,4349.13,4221.53,8229117
2014-04-09,4363.45,4369.34,4392.01,4352.36,7842486
2014-04-10,4377.27,4422.51,4438.88,4347.43,8010085
2014-04-11,4427.81,4464.3,4487.87,4425.89,7613618
2014-04-14,4460.42,4482.89,4499.25,4455.77,6171031
