Date,Open,Close,High,Low,Volume,Turnover
2019-05-06,0.122,0.104,0.142,0.104,184843,17287144.0
2019-05-07,0.108,0.126,0.131,0.108,203258,19239358.0
2019-05-08,0.12,0.127,0.138,0.113,219403,20946175.0
2019-05-09,0.119,0.108,0.125,0.101,222401,20504939.0
2019-05-10,0.114,0.134,0.138,0.113,290585,27679929.0
2019-05-13,0.133,0.136,0.141,0.121,248063,24124112.0
2019-05-14,0.125,0.132,0.14,0.125,148898,14413965.0
2019-05-15,0.136,0.16,0.162,0.136,1168682,117712978.0
2019-05-16,0.157,0.166,0.17,0.151,498980,51065839.0
2019-05-17,0.164,0.15,0.169,0.146,407515,41297833.0
2019-05-20,0.15,0.138,0.15,0.127,292635,28386201.0
2019-05-21,0.139,0.146,0.151,0.128,278966,27517499.0
2019-05-22,0.145,0.14,0.147,0.135,330625,32345621.0
2019-05-23,0.135,0.123,0.139,0.12,293914,28015361.0
2019-05-24,0.121,0.129,0.135,0.121,199727,19161075.0
2019-05-27,0.127,0.133,0.134,0.119,320208,30533972.0
2019-05-28,0.132,0.133,0.141,0.128,266245,25791681.0
2019-05-29,0.132,0.139,0.144,0.13,201843,19726573.0
2019-05-30,0.139,0.136,0.141,0.128,233045,22416566.0
2019-05-31,0.136,0.13,0.136,0.127,177043,17002263.0
2019-06-03,0.132,0.125,0.135,0.123,310763,29603076.0
2019-06-04,0.125,0.112,0.126,0.11,285966,26514981.0
2019-06-05,0.116,0.113,0.119,0.111,141510,13135558.0
2019-06-06,0.118,0.108,0.118,0.106,158160,14548330.0
2019-06-10,0.108,0.117,0.12,0.101,208043,19231338.0
2019-06-11,0.117,0.141,0.144,0.117,402545,38998307.0
2019-06-12,0.138,0.135,0.141,0.132,158733,15391685.0
2019-06-13,0.135,0.133,0.136,0.126,145495,13983165.0
2019-06-14,0.13,0.128,0.14,0.126,159794,15424440.0
2019-06-17,0.126,0.125,0.131,0.12,142286,13543080.0
2019-06-18,0.126,0.125,0.128,0.119,101080,9552891.0
2019-06-19,0.14,0.132,0.143,0.131,199079,19347974.0
2019-06-20,0.132,0.152,0.155,0.13,359505,35770589.0
2019-06-21,0.152,0.157,0.16,0.148,247011,24827243.0
2019-06-24,0.155,0.164,0.172,0.152,385853,39672437.0
2019-06-25,0.161,0.164,0.168,0.152,243322,24835162.0
2019-06-26,0.158,0.164,0.165,0.158,158928,16266214.0
2019-06-27,0.163,0.182,0.187,0.163,503121,53149502.0
2019-06-28,0.179,0.182,0.187,0.175,283867,30101721.0
2019-07-01,0.195,0.209,0.21,0.191,261430,28888491.0
2019-07-02,0.204,0.209,0.213,0.201,232742,25891212.0
2019-07-03,0.207,0.198,0.219,0.191,328240,36403290.0
2019-07-04,0.192,0.19,0.199,0.182,222547,23940939.0
2019-07-05,0.189,0.203,0.207,0.188,246398,26948915.0
2019-07-08,0.2,0.192,0.201,0.184,248981,27035355.0
2019-07-09,0.19,0.196,0.207,0.19,215072,23558330.0
2019-07-10,0.196,0.198,0.203,0.195,130870,14356826.0
2019-07-11,0.2,0.192,0.204,0.19,212125,23158565.0
2019-07-12,0.19,0.199,0.201,0.19,187492,20510030.0
2019-07-15,0.195,0.195,0.196,0.18,200496,21590676.0
2019-07-16,0.194,0.188,0.197,0.186,176170,18988524.0
2019-07-17,0.187,0.187,0.191,0.183,130029,13948064.0
2019-07-18,0.182,0.178,0.187,0.177,184109,19590668.0
2019-07-19,0.18,0.183,0.187,0.178,127364,13581463.0
2019-07-22,0.184,0.18,0.185,0.176,200973,21281286.0
2019-07-23,0.18,0.174,0.18,0.165,186978,19507682.0
2019-07-24,0.172,0.173,0.178,0.171,205300,21530485.0
2019-07-25,0.173,0.18,0.18,0.165,314048,32740032.0
2019-07-26,0.176,0.178,0.183,0.173,199828,21143320.0
2019-07-29,0.179,0.184,0.185,0.176,203739,21660996.0
2019-07-30,0.184,0.182,0.186,0.179,156638,16692280.0
2019-07-31,0.18,0.173,0.184,0.172,200238,21028661.0
2019-08-01,0.17,0.165,0.173,0.162,191477,19790494.0
2019-08-02,0.152,0.16,0.163,0.152,229761,23249886.0
2019-08-05,0.155,0.151,0.162,0.15,171361,17293532.0
2019-08-06,0.145,0.155,0.157,0.138,291943,29266670.0
2019-08-07,0.159,0.153,0.16,0.152,97291,9836472.0
2019-08-08,0.153,0.163,0.165,0.153,211180,21614430.0
2019-08-09,0.167,0.155,0.168,0.153,127407,12974805.0
2019-08-12,0.161,0.169,0.17,0.161,307793,31791815.0
2019-08-13,0.166,0.167,0.168,0.163,113398,11691712.0
2019-08-14,0.173,0.18,0.182,0.172,173602,18342799.0
2019-08-15,0.171,0.178,0.178,0.168,178153,18649484.0
2019-08-16,0.177,0.187,0.193,0.175,219765,23565048.0
2019-08-19,0.19,0.193,0.194,0.183,251713,27135311.0
2019-08-20,0.193,0.199,0.2,0.188,163809,17873740.0
2019-08-21,0.199,0.193,0.2,0.192,148122,16142205.0
2019-08-22,0.194,0.205,0.206,0.194,202702,22316302.0
2019-08-23,0.204,0.205,0.209,0.2,158673,17613700.0
2019-08-26,0.196,0.194,0.199,0.191,210244,22878131.0
2019-08-27,0.198,0.207,0.211,0.198,166774,18533129.0
